UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
MacHash,@MacHashNews,2016-01-01T22:45:14.000Z,"MacHash
@MacHashNews
·
Jan 1, 2016",Discover the world around you through Curiosity by Tamper http://dlvr.it/D8xCzS #AppAdvice $AAPL,,,1,,['https://pbs.twimg.com/media/CXq0MOYUAAAKFqI?format=jpg&name=small'],https://twitter.com/MacHashNews/status/683056415750012928
Alene Vincent,@alenevince,2016-01-01T17:37:12.000Z,"Alene Vincent
@alenevince
·
Jan 1, 2016",RT philiped: Merckel's 6 reasons Apple closed 2015 with a whimper http://for.tn/1NYaS82 $aapl #toobignottofail,,,1,,[],https://twitter.com/alenevince/status/682978896766177280
MacHash,@MacHashNews,2016-01-01T23:47:25.000Z,"MacHash
@MacHashNews
·
Jan 1, 2016",What's next for Apple in 2016: New product rumor roundup http://dlvr.it/D8xsH5 #AppleInsider $AAPL,,,2,3,['https://pbs.twimg.com/media/CXrCbAVUAAAyeZx?format=jpg&name=small'],https://twitter.com/MacHashNews/status/683072062764658689
Bernice Goodman,@trogdepo86,2016-01-01T10:57:48.000Z,"Bernice Goodman
@trogdepo86
·
Jan 1, 2016",Early movers: $LMT $GE $CMRX $GM $T $AAPL $MSFT $COP $BP ....,,,1,,['https://pbs.twimg.com/card_img/1641529810445803525/nK0x0jTh?format=jpg&name=small'],https://twitter.com/trogdepo86/status/682878383345242112
WLST.com,@wlstcom,2016-01-01T08:13:19.000Z,"WLST.com
@wlstcom
·
Jan 1, 2016","Despite Tim Cooks Trashtalking, Apple Will Pay Italy $348 Million in Back Taxes $AAPL #Tax http://gizmodo.com/despite-tim-cooks-trashtalking-apple-will-pay-italy-3-1750267494…",,,1,,['https://pbs.twimg.com/media/CXnsn4KW8AArBT8?format=jpg&name=small'],https://twitter.com/wlstcom/status/682836988479803392
Siera Xray,@orion659,2016-01-01T08:52:58.000Z,"Siera Xray
@orion659
·
Jan 1, 2016",Apple closes first negative year since 2008 $AAPL http://seekingalpha.com/news/3009616,✈,,1,,[],https://twitter.com/orion659/status/682846968469700608
BUD RANTE,@DDRANTE,2016-01-01T22:55:33.000Z,"BUD RANTE
@DDRANTE
·
Jan 1, 2016","Replying to 
@DDRANTE",,1,1,3,[],https://twitter.com/DDRANTE/status/683059011910905856
Sampath,@spakkal,2016-01-01T20:48:26.000Z,"Sampath
@spakkal
·
Jan 1, 2016","""
@philiped
: Merckel's 6 reasons Apple closed 2015 with a whimper http://for.tn/1NYaS82 $aapl #toobignottofail""",,,1,,[],https://twitter.com/spakkal/status/683027020956217344
Investors Hangout,@IHPosts,2016-01-01T15:27:25.000Z,"Investors Hangout
@IHPosts
·
Jan 1, 2016","$SANP Financials Updated Friday, January 1, 2016 09:42:51 AM $AAPL $AVXL $TRTC $TPAC http://dlvr.it/D8ql2h",,,1,,[],https://twitter.com/IHPosts/status/682946232512163840
Binary Options Guard,@BinaryTrading13,2016-01-01T18:13:32.000Z,"Binary Options Guard
@BinaryTrading13
·
Jan 1, 2016",RT https://twitter.com/1stPennyStocks/status/682985718931677184… RT Hwayoutaline: $GOOG Enterprise Value Passing $AAPL Oh No How Could That Be Is That Even Possible? #NYSE …,,,1,1,[],https://twitter.com/BinaryTrading13/status/682988040944513024
Timothy Reazor,@TJReazor,2016-01-01T17:26:49.000Z,"Timothy Reazor
@TJReazor
·
Jan 1, 2016",#StockNerds --Sneaky distribution in $NFLX- #Netflix is the new $DIS which is the old $AAPL -https://vimeo.com/150449236,,,3,3,['https://pbs.twimg.com/media/CXprTZHWQAE532O?format=jpg&name=small'],https://twitter.com/TJReazor/status/682976280640372736
"Jeff York, PPT",@Pivotal_Pivots,2016-01-01T14:34:03.000Z,"Jeff York, PPT
@Pivotal_Pivots
·
Jan 1, 2016","$AAPL the past several years, the 9 month moving average has shown investors when to stay long
and when to get out!",,,12,33,['https://pbs.twimg.com/media/CXpDxJ0WcAAdChx?format=jpg&name=small'],https://twitter.com/Pivotal_Pivots/status/682932805341417472
TheClosingBell,@TCBFx,2016-01-01T06:29:57.000Z,"TheClosingBell
@TCBFx
·
Jan 1, 2016",The Closing Bell is out! http://paper.li/BonaCapital/1408551985?edition_id=12e623a0-b051-11e5-93d2-0cc47a0d164b… $EURUSD $GBPUSD $USDJPY $AUDUSD $SPY $TWTR $GPRO $YHOO $LNKD $FB $AAPL $BRD $CAT $WLT $LNKD,,,,,[],https://twitter.com/TCBFx/status/682810974978633728
Dinero Inteligente,@Losfinancieros,2016-01-01T14:18:05.000Z,"Dinero Inteligente
@Losfinancieros
·
Jan 1, 2016","Replying to 
@Losfinancieros",,,,2,[],https://twitter.com/Losfinancieros/status/682928788213202945
Carlos Olin Montalvo III,@carlosolin,2016-01-01T18:01:11.000Z,"Carlos Olin Montalvo III
@carlosolin
·
Jan 1, 2016","Despite record-breaking earnings and continued market growth, Apple closed out 2015 lower for first time since 2008 cc 
@brianshall
 #aapl",,,,1,[],https://twitter.com/carlosolin/status/682984930415108096
TheStreet,@TheStreet,2016-01-01T08:40:03.000Z,"TheStreet
@TheStreet
·
Jan 1, 2016",Get used to hearing about the Internet of Things http://bit.ly/1NQQurv $AAPL $GOOGL,,,6,8,[],https://twitter.com/TheStreet/status/682843717712109568
Thee Gator,@Hwayoutaline,2016-01-01T18:00:28.000Z,"Thee Gator
@Hwayoutaline
·
Jan 1, 2016",$GOOG Enterprise Value Passing $AAPL Oh No How Could That Be Is That Even Possible? #NYSE http://zerohedge.com/news/2015-12-29/googles-enterprise-value-quietly-surpasses-apple… #Stocks $MSFT $DOW,,,1,,[],https://twitter.com/Hwayoutaline/status/682984752203182080
Rosner Stocks,@rosnerstocks,2016-01-01T02:33:28.000Z,"Rosner Stocks
@rosnerstocks
·
Dec 31, 2015","AAPL Apple, Inc. Investor Opinions
http://dlvr.it/D8cqk3

$AAPL $ABX $INP $MCD #AAPL #stockmarket #stocks",,,2,,[],https://twitter.com/rosnerstocks/status/682751465664860160
