{'batch_size': 32, 'critic_iterations': 4, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 2.5253713574982988, 'val_RMSE': 5.421697591666945}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 1.0990540740412174, 'val_RMSE': 5.485207667258832}
{'batch_size': 64, 'critic_iterations': 3, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.9982745320387312, 'val_RMSE': 5.997062591763232}
{'batch_size': 32, 'critic_iterations': 3, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 1.708744662658198, 'val_RMSE': 6.014592654702569}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 1.3831993429491802, 'val_RMSE': 6.127909790582817}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.9569021578001723, 'val_RMSE': 6.2195830264403185}
{'batch_size': 64, 'critic_iterations': 4, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.8242714429373758, 'val_RMSE': 6.290934512404975}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 2.2816957446964783, 'val_RMSE': 6.3399105359953145}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 1e-05, 'train_RMSE': 0.7177365112891294, 'val_RMSE': 6.3633261662014196}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.871849723058263, 'val_RMSE': 6.396039858913436}
{'batch_size': 32, 'critic_iterations': 4, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.7480241894530648, 'val_RMSE': 6.400423120518631}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.8488385495600024, 'val_RMSE': 6.438619300649031}
{'batch_size': 32, 'critic_iterations': 4, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 1.0577360458135714, 'val_RMSE': 6.44330089271598}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 1.4478748878421916, 'val_RMSE': 6.449506760880536}
