{'batch_size': 128, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.2804157544007142, 'val_RMSE': 0.7548681939709808}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.20464757058319297, 'val_RMSE': 0.755162157479466}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.33786151641871504, 'val_RMSE': 0.7553555490845287}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.2422867947311263, 'val_RMSE': 0.7557742960260637}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.23416966048066531, 'val_RMSE': 0.7570284319642232}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.25265129581262347, 'val_RMSE': 0.7575189080879334}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.44179753357012674, 'val_RMSE': 0.758598278316265}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.2232267222303425, 'val_RMSE': 0.7610664659586858}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 1e-05, 'train_RMSE': 0.3487513308954519, 'val_RMSE': 0.7613135604223282}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.2822479710962676, 'val_RMSE': 0.7622519821320317}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.01, 'train_RMSE': 0.3599723323963946, 'val_RMSE': 0.7624235909418458}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.21584838928639472, 'val_RMSE': 0.7634696177617794}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.21667976340406112, 'val_RMSE': 0.7698026696414075}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.22027380895075688, 'val_RMSE': 0.7711065054870374}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.24366063531370083, 'val_RMSE': 0.7728595895535111}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.24756599226050074, 'val_RMSE': 0.7742771156033811}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.26235314769428153, 'val_RMSE': 0.776092013939397}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.21562041094383927, 'val_RMSE': 0.7768728105390204}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.24081920922198596, 'val_RMSE': 0.7774099877170014}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.24434448919935733, 'val_RMSE': 0.7775949377544182}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.20814834750907857, 'val_RMSE': 0.7794394638385663}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.21369938635117794, 'val_RMSE': 0.7817010124930271}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.201813658336659, 'val_RMSE': 0.7828779933358913}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.3014108659393328, 'val_RMSE': 0.7835356383370837}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.30938885138294653, 'val_RMSE': 0.7843067030350341}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 1e-05, 'train_RMSE': 0.3816385044104936, 'val_RMSE': 0.7847104198096928}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.2888926932675774, 'val_RMSE': 0.7863566881495649}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.45801906857878166, 'val_RMSE': 0.7864278637228352}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.23274467079268044, 'val_RMSE': 0.786557699390029}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.3249384116518742, 'val_RMSE': 0.7868620519286268}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.23179476211568642, 'val_RMSE': 0.7870921146957917}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.26832118509410063, 'val_RMSE': 0.7871104218072108}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.2600466044248351, 'val_RMSE': 0.7871784519038734}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.23534034373865967, 'val_RMSE': 0.7872553291056996}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.26161135815319847, 'val_RMSE': 0.7876920272787844}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.28775710482959566, 'val_RMSE': 0.7881219637134903}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.20321723310599643, 'val_RMSE': 0.7904567339646619}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.25748943357098847, 'val_RMSE': 0.7925772857931332}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 1e-05, 'train_RMSE': 0.43235417640168355, 'val_RMSE': 0.793405271098189}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.21560214077250736, 'val_RMSE': 0.7947559160700725}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.24949652034185787, 'val_RMSE': 0.7952068030741346}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.28761402727136676, 'val_RMSE': 0.7958794822481307}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.23778509323648098, 'val_RMSE': 0.7962967207581032}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 1e-05, 'train_RMSE': 0.49873780370078674, 'val_RMSE': 0.7973753206917755}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.26513844344243215, 'val_RMSE': 0.7980127258507677}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.21402030412323667, 'val_RMSE': 0.8007019723957114}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.23331781406253058, 'val_RMSE': 0.8022664426984163}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.22003809933268606, 'val_RMSE': 0.805603213370495}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 1e-05, 'train_RMSE': 0.22317684186548162, 'val_RMSE': 0.8063468344473861}
{'batch_size': 16, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.24378867795303985, 'val_RMSE': 0.8087293957226097}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.24267248244735237, 'val_RMSE': 0.8088419009919646}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 1e-05, 'train_RMSE': 0.40809816988690795, 'val_RMSE': 0.8096135563756601}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.29286444142752943, 'val_RMSE': 0.8128562999816572}
{'batch_size': 32, 'critic_iterations': 25, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.2915643827434063, 'val_RMSE': 0.8148241194714414}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.3339580803928582, 'val_RMSE': 0.8150833183998843}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.21501263131919796, 'val_RMSE': 0.81529133315412}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.2083602955516587, 'val_RMSE': 0.8154860086642751}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.27164917268811034, 'val_RMSE': 0.8166733417063428}
{'batch_size': 64, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.4912077932466822, 'val_RMSE': 0.8187807945746902}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.23692648432681185, 'val_RMSE': 0.8191756840245916}
{'batch_size': 128, 'critic_iterations': 25, 'epochs': 200, 'learning_rate': 1e-05, 'train_RMSE': 0.4027319425792412, 'val_RMSE': 0.8210335157375754}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.001, 'train_RMSE': 0.26138088647881025, 'val_RMSE': 0.8212849296706618}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 0.01, 'train_RMSE': 0.5201225055842372, 'val_RMSE': 0.8215272658809879}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.2567121926627754, 'val_RMSE': 0.8215486244699189}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.24555645273170204, 'val_RMSE': 0.8216751590696648}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.2631055682293985, 'val_RMSE': 0.8219184662033137}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.34299520576217624, 'val_RMSE': 0.8221966999744807}
