{'batch_size': 128, 'critic_iterations': 3, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 1.2652600064158732, 'val_RMSE': 4.90416778868992}
{'batch_size': 32, 'critic_iterations': 3, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.6774343865974833, 'val_RMSE': 4.908875085665329}
{'batch_size': 64, 'critic_iterations': 4, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.7252091375661178, 'val_RMSE': 4.932201696269616}
{'batch_size': 128, 'critic_iterations': 3, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.9699625908589675, 'val_RMSE': 4.955977253630236}
{'batch_size': 32, 'critic_iterations': 4, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.7561050545379397, 'val_RMSE': 4.961456770756695}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.9675204975568866, 'val_RMSE': 4.968487707480676}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.7471957524691525, 'val_RMSE': 4.994913849280295}
{'batch_size': 128, 'critic_iterations': 4, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 1.0125538367483249, 'val_RMSE': 5.000457909795167}
{'batch_size': 32, 'critic_iterations': 2, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.7694134842195823, 'val_RMSE': 5.017705694115687}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.6578763754882926, 'val_RMSE': 5.021686175606995}
{'batch_size': 32, 'critic_iterations': 2, 'epochs': 175, 'learning_rate': 1e-05, 'train_RMSE': 0.6481970792042118, 'val_RMSE': 5.023598562173692}
{'batch_size': 32, 'critic_iterations': 3, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.9101804343514402, 'val_RMSE': 5.041251740828562}
{'batch_size': 32, 'critic_iterations': 4, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.708472532725617, 'val_RMSE': 5.052537928775018}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.7085046814791462, 'val_RMSE': 5.05379087065652}
{'batch_size': 32, 'critic_iterations': 3, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.7164777919598099, 'val_RMSE': 5.067735398831746}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.6777797421542202, 'val_RMSE': 5.070345473048496}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.7249683115856898, 'val_RMSE': 5.0780720184655115}
{'batch_size': 32, 'critic_iterations': 4, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.7512936325513161, 'val_RMSE': 5.078819922108978}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 1.101452902763087, 'val_RMSE': 5.089486462438884}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 250, 'learning_rate': 0.0001, 'train_RMSE': 0.6954429905957894, 'val_RMSE': 5.090349575292914}
{'batch_size': 64, 'critic_iterations': 2, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.7008099615493846, 'val_RMSE': 5.094976057964576}
{'batch_size': 32, 'critic_iterations': 4, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.712565818539377, 'val_RMSE': 5.100501639561621}
