{'batch_size': 32, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.23738397260166794, 'val_RMSE': 0.5738034725257956}
{'batch_size': 128, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.2007424914090571, 'val_RMSE': 0.606362957619065}
{'batch_size': 32, 'critic_iterations': 1, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.23836015906454086, 'val_RMSE': 0.6157451882459769}
{'batch_size': 128, 'critic_iterations': 3, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.19260139982728156, 'val_RMSE': 0.6474513014284011}
{'batch_size': 64, 'critic_iterations': 3, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.19213975771372382, 'val_RMSE': 0.6576446312676026}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.2138335506371262, 'val_RMSE': 0.6598411645381278}
{'batch_size': 128, 'critic_iterations': 1, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.42412504319270883, 'val_RMSE': 0.6620746663338674}
{'batch_size': 32, 'critic_iterations': 3, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.21311081233121532, 'val_RMSE': 0.6626793751048151}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.2040519096473265, 'val_RMSE': 0.6657842860497073}
{'batch_size': 16, 'critic_iterations': 10, 'epochs': 125, 'learning_rate': 0.01, 'train_RMSE': 0.5416517215216939, 'val_RMSE': 0.6690819178001812}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.3037779057318741, 'val_RMSE': 0.670883534182798}
{'batch_size': 64, 'critic_iterations': 5, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.22667213466890176, 'val_RMSE': 0.6715094746703394}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.1911269692201349, 'val_RMSE': 0.673364715425579}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.2641479256798577, 'val_RMSE': 0.6801862494037931}
{'batch_size': 64, 'critic_iterations': 7, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.32759707211069916, 'val_RMSE': 0.6804435984668227}
{'batch_size': 64, 'critic_iterations': 7, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.2025362085946547, 'val_RMSE': 0.6805570567788525}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.47168544702292753, 'val_RMSE': 0.6811064450826032}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.18894958157641178, 'val_RMSE': 0.6821510644264571}
{'batch_size': 64, 'critic_iterations': 7, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.1992350075108512, 'val_RMSE': 0.6859440655125737}
{'batch_size': 32, 'critic_iterations': 3, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.2566439193566405, 'val_RMSE': 0.688487297136554}
{'batch_size': 16, 'critic_iterations': 7, 'epochs': 175, 'learning_rate': 0.001, 'train_RMSE': 0.20801370577215456, 'val_RMSE': 0.6933567422613834}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.20174795954864985, 'val_RMSE': 0.6938203661843336}
{'batch_size': 64, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.20393258112165516, 'val_RMSE': 0.69424530446761}
{'batch_size': 128, 'critic_iterations': 10, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.21605049819682062, 'val_RMSE': 0.6977514270340667}
{'batch_size': 128, 'critic_iterations': 1, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.2118802830031904, 'val_RMSE': 0.7005820311013795}
{'batch_size': 32, 'critic_iterations': 7, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.20040150207670057, 'val_RMSE': 0.701583236807935}
{'batch_size': 32, 'critic_iterations': 5, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.26945019184458724, 'val_RMSE': 0.704580889937672}
{'batch_size': 16, 'critic_iterations': 7, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.22330022123168897, 'val_RMSE': 0.705923225397813}
{'batch_size': 32, 'critic_iterations': 10, 'epochs': 125, 'learning_rate': 0.001, 'train_RMSE': 0.18087339832385851, 'val_RMSE': 0.7073869581547259}
{'batch_size': 128, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.001, 'train_RMSE': 0.3110911380030614, 'val_RMSE': 0.7080281307503538}
{'batch_size': 128, 'critic_iterations': 5, 'epochs': 175, 'learning_rate': 0.0001, 'train_RMSE': 0.20918281519411738, 'val_RMSE': 0.7089335610432492}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.0001, 'train_RMSE': 0.27105006707678725, 'val_RMSE': 0.7113575999023668}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 150, 'learning_rate': 0.001, 'train_RMSE': 0.23145518609940097, 'val_RMSE': 0.7125045226147821}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.22121058233611127, 'val_RMSE': 0.7129890366488542}
{'batch_size': 16, 'critic_iterations': 1, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.22195223329561733, 'val_RMSE': 0.713862874279371}
{'batch_size': 64, 'critic_iterations': 10, 'epochs': 200, 'learning_rate': 0.0001, 'train_RMSE': 0.3063644563553136, 'val_RMSE': 0.7145085405866003}
{'batch_size': 16, 'critic_iterations': 5, 'epochs': 100, 'learning_rate': 0.0001, 'train_RMSE': 0.2674071334917404, 'val_RMSE': 0.7148642967540524}
{'batch_size': 16, 'critic_iterations': 7, 'epochs': 125, 'learning_rate': 0.001, 'train_RMSE': 0.2107773517097151, 'val_RMSE': 0.7151668224063468}
{'batch_size': 128, 'critic_iterations': 7, 'epochs': 200, 'learning_rate': 0.001, 'train_RMSE': 0.21713813549601685, 'val_RMSE': 0.7152652078122561}
{'batch_size': 16, 'critic_iterations': 3, 'epochs': 200, 'learning_rate': 0.01, 'train_RMSE': 0.31743481947433444, 'val_RMSE': 0.7153611350246031}
{'batch_size': 128, 'critic_iterations': 7, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.2734938819675043, 'val_RMSE': 0.7183958866296944}
{'batch_size': 16, 'critic_iterations': 3, 'epochs': 125, 'learning_rate': 0.0001, 'train_RMSE': 0.23777766711909476, 'val_RMSE': 0.7187643021007795}
