Date,vader_polarity
2015-01-01,0.09180999999999999
2015-01-02,0.12670666666666666
2015-01-03,0.17068714285714287
2015-01-04,0.12888101265822785
2015-01-05,0.08261739130434782
2015-01-06,0.13745466666666667
2015-01-07,0.05654675324675325
2015-01-08,0.125712
2015-01-09,0.15587971014492755
2015-01-10,0.1663609375
2015-01-11,0.1557846153846154
2015-01-12,0.15099661016949154
2015-01-13,0.20732666666666666
2015-01-14,0.12048028169014084
2015-01-15,0.13944383561643836
2015-01-16,0.12195641025641024
2015-01-17,0.16167246376811595
2015-01-18,0.1297611111111111
2015-01-19,0.09752394366197183
2015-01-20,0.14383333333333334
2015-01-21,0.16387966101694917
2015-01-22,0.14359506172839506
2015-01-23,0.135675
2015-01-24,0.1384698412698413
2015-01-25,0.07002112676056338
2015-01-26,0.0801406976744186
2015-01-27,0.12344883720930233
2015-01-28,0.11484810126582279
2015-01-29,0.23041666666666666
2015-01-30,0.13798783783783783
2015-01-31,0.13949753086419753
2015-02-01,0.08182121212121211
2015-02-02,0.11534594594594595
2015-02-03,0.09576805555555555
2015-02-04,0.06042857142857142
2015-02-05,0.15191449275362318
2015-02-06,0.09718933333333334
2015-02-07,0.09745211267605634
2015-02-08,0.11625526315789474
2015-02-09,0.03463571428571429
2015-02-10,0.1193027397260274
2015-02-11,0.20351866666666665
2015-02-12,0.13691044776119404
2015-02-13,0.08370632911392405
2015-02-14,0.1102913043478261
2015-02-15,0.06272345679012345
2015-02-16,0.08627391304347826
2015-02-17,0.117475
2015-02-18,0.037696
2015-02-19,0.07287948717948718
2015-02-20,0.07361029411764705
2015-02-21,0.12745694444444444
2015-02-22,0.120203125
2015-02-23,0.09135476190476191
2015-02-24,0.2583327868852459
2015-02-25,0.07865308641975309
2015-02-26,0.09595416666666666
2015-02-27,0.06892714285714287
2015-02-28,0.1747710843373494
2015-03-01,0.1780842105263158
2015-03-02,0.15251807228915665
2015-03-03,0.12929117647058824
2015-03-04,0.06464492753623188
2015-03-05,0.04813417721518988
2015-03-06,0.04220819672131147
2015-03-07,0.11445454545454546
2015-03-08,0.1413068493150685
2015-03-09,0.16182222222222223
2015-03-10,0.10434615384615384
2015-03-11,-0.014566666666666665
2015-03-12,0.15953714285714285
2015-03-13,0.13458923076923077
2015-03-14,0.11411666666666667
2015-03-15,0.0908103896103896
2015-03-16,0.16134545454545454
2015-03-17,0.04020769230769231
2015-03-18,0.15515352112676056
2015-03-19,0.12110277777777778
2015-03-20,0.10001309523809523
2015-03-21,0.12045903614457833
2015-03-22,0.17353749999999998
2015-03-23,0.0796079365079365
2015-03-24,0.07507794117647058
2015-03-25,0.14774556962025318
2015-03-26,0.15773375
2015-03-27,0.11470806451612904
2015-03-28,0.14739846153846153
2015-03-29,0.10539499999999999
2015-03-30,0.21070188679245286
2015-03-31,0.1409047619047619
2015-04-01,0.14921621621621622
2015-04-02,0.08230882352941175
2015-04-03,0.14611470588235295
2015-04-04,0.13348360655737704
2015-04-05,0.16365211267605634
2015-04-06,0.14341500000000001
2015-04-07,0.13587887323943662
2015-04-08,0.06386153846153846
2015-04-09,0.19058591549295772
2015-04-10,0.1559622950819672
2015-04-11,0.11649
2015-04-12,0.11156493506493508
2015-04-13,0.050318181818181824
2015-04-14,0.1393455882352941
2015-04-15,0.13021538461538462
2015-04-16,0.1091125
2015-04-17,0.016438961038961038
2015-04-18,0.0488931506849315
2015-04-19,0.09302307692307692
2015-04-20,0.1462076923076923
2015-04-21,0.13437837837837838
2015-04-22,0.0910418918918919
2015-04-23,0.12264333333333334
2015-04-24,0.11645074626865672
2015-04-25,0.17723478260869566
2015-04-26,0.10820645161290322
2015-04-27,0.09825507246376812
2015-04-28,0.15099113924050633
2015-04-29,0.0906169014084507
2015-04-30,0.13772368421052633
2015-05-01,0.1769360655737705
2015-05-02,0.07100985915492958
2015-05-03,0.09730281690140845
2015-05-04,0.045768674698795184
2015-05-05,0.09941315789473686
2015-05-06,0.10461875000000001
2015-05-07,0.1089046511627907
2015-05-08,0.14701666666666668
2015-05-09,0.07998382352941177
2015-05-10,0.11893076923076923
2015-05-11,0.12100410958904109
2015-05-12,0.17383188405797104
2015-05-13,0.07051714285714286
2015-05-14,0.14806216216216217
2015-05-15,0.09641694915254237
2015-05-16,0.08457857142857143
2015-05-17,0.09955555555555556
2015-05-18,0.11960121951219511
2015-05-19,0.08342463768115943
2015-05-20,0.04950666666666667
2015-05-21,0.1270016129032258
2015-05-22,0.11606349206349206
2015-05-23,0.0413890625
2015-05-24,0.09114864864864865
2015-05-25,0.126672131147541
2015-05-26,0.05141746031746032
2015-05-27,0.13106197183098592
2015-05-28,0.10242307692307692
2015-05-29,0.19763870967741937
2015-05-30,0.2393386666666667
2015-05-31,0.09773833333333333
